date,1. open,2. high,3. low,4. close,5. volume
2025-02-20 18:18:00,245.65,245.66,245.65,245.66,11.0
2025-02-20 18:17:00,245.65,245.699,245.65,245.6512,45.0
2025-02-20 18:16:00,245.66,245.67,245.65,245.67,498.0
2025-02-20 18:15:00,245.65,245.6975,245.65,245.66,71.0
2025-02-20 18:14:00,245.66,245.6987,245.65,245.66,117.0
2025-02-20 18:13:00,245.59,245.6982,245.59,245.6501,174.0
2025-02-20 18:12:00,245.63,245.7,245.57,245.7,12.0
2025-02-20 18:11:00,245.6,245.68,245.57,245.68,54.0
2025-02-20 18:10:00,245.63,245.63,245.56,245.62,357.0
2025-02-20 18:09:00,245.53,245.53,245.53,245.53,39.0
2025-02-20 18:08:00,245.56,245.58,245.56,245.58,28.0
2025-02-20 18:07:00,245.65,245.65,245.55,245.55,189.0
2025-02-20 18:06:00,245.61,245.61,245.6,245.6,34.0
2025-02-20 18:05:00,245.56,245.7,245.56,245.56,77.0
2025-02-20 18:04:00,245.56,245.66,245.56,245.66,620.0
2025-02-20 18:03:00,245.56,245.61,245.56,245.6,2073.0
2025-02-20 18:02:00,245.58,245.6,245.56,245.56,259.0
2025-02-20 18:01:00,245.56,245.6,245.5,245.58,242.0
2025-02-20 18:00:00,245.65,245.69,245.5,245.5,1464.0
2025-02-20 17:59:00,245.6025,245.69,245.6025,245.67,34.0
2025-02-20 17:58:00,245.62,245.7,245.6,245.6,47.0
2025-02-20 17:57:00,245.7,245.7,245.6025,245.69,156.0
2025-02-20 17:56:00,245.67,245.7,245.65,245.7,10.0
2025-02-20 17:55:00,245.6025,245.65,245.6025,245.6025,17.0
2025-02-20 17:54:00,245.62,245.7,245.6,245.6,432.0
2025-02-20 17:53:00,245.61,245.62,245.6,245.62,110.0
2025-02-20 17:52:00,245.6,245.62,245.6,245.6,79.0
2025-02-20 17:51:00,245.56,245.61,245.56,245.6025,255.0
2025-02-20 17:50:00,245.5027,245.56,245.5027,245.56,23.0
2025-02-20 17:49:00,245.61,245.61,245.59,245.59,10.0
2025-02-20 17:48:00,245.55,245.599,245.55,245.56,578.0
2025-02-20 17:47:00,245.58,245.6,245.55,245.55,134.0
2025-02-20 17:46:00,245.6,245.6,245.6,245.6,5.0
2025-02-20 17:45:00,245.56,245.56,245.56,245.56,1.0
2025-02-20 17:44:00,245.55,245.56,245.55,245.56,120.0
2025-02-20 17:43:00,245.6,245.62,245.55,245.55,31.0
2025-02-20 17:42:00,245.6,245.6149,245.55,245.55,308.0
2025-02-20 17:41:00,245.6,245.6,245.57,245.57,3.0
2025-02-20 17:40:00,245.6,245.64,245.55,245.63,151.0
2025-02-20 17:39:00,245.6,245.6,234.0006,245.58,252.0
2025-02-20 17:38:00,245.58,245.6965,245.58,245.6,67.0
2025-02-20 17:37:00,245.58,245.58,245.58,245.58,49.0
2025-02-20 17:36:00,245.6,245.6,245.0148,245.5,222.0
2025-02-20 17:35:00,245.61,245.7,245.6,245.7,103.0
2025-02-20 17:34:00,245.0148,245.6,245.0148,245.6,110.0
2025-02-20 17:33:00,245.68,245.68,245.58,245.58,10.0
2025-02-20 17:32:00,245.63,245.69,245.62,245.69,287.0
2025-02-20 17:31:00,245.6217,245.6217,245.62,245.62,2.0
2025-02-20 17:30:00,245.62,245.68,245.54,245.62,122.0
2025-02-20 17:29:00,245.62,245.7,245.62,245.62,160.0
2025-02-20 17:28:00,245.62,247.1389,245.62,245.62,195.0
2025-02-20 17:27:00,245.63,245.68,245.55,245.68,262.0
2025-02-20 17:26:00,245.56,251.7307,245.55,251.7307,1177.0
2025-02-20 17:25:00,245.5537,245.61,245.55,245.56,1077.0
2025-02-20 17:24:00,245.6,245.698,245.6,245.6,405.0
2025-02-20 17:23:00,245.63,245.7,245.6,245.6,24.0
